pca_1,pca_2,tsne_1,tsne_2,label
-2014.8527997388228,217.51599373790486,-11.313817,29.86176,Data Asli
-440.0046094967038,810.6383029151575,19.823353,-22.646446,Data Asli
-2721.70929663274,-140.24568654936866,-31.418083,-0.30984813,Data Asli
-2397.4939969886327,631.9666239765747,-13.859762,11.827198,Data Asli
-2094.6636179957823,321.8764526173645,10.438639,-12.739034,Data Asli
-2064.397457074483,248.7520623264354,-16.422018,29.289291,Data Asli
-2032.797033429284,181.07306910338775,-10.51252,29.248863,Data Asli
-2007.8499041967334,235.75212663892944,10.349184,29.970486,Data Asli
-2345.9184637480284,596.0533070225811,-17.45226,17.759825,Data Asli
-2936.557540627833,-155.17177779150552,-29.363638,-7.1015396,Data Asli
-2115.2882187126997,351.76767734390614,-20.49668,33.669994,Data Asli
-1939.0879448746236,325.1350767285667,5.9519477,33.597076,Data Asli
-1970.4426118050797,181.68397289738095,-8.895462,30.343645,Data Asli
7509.185795033944,-13220.293509292413,38.835556,-19.830675,Data Asli
17951.06820267344,2850.8317886936456,70.67738,-1.0273988,Data Asli
-1633.393968553988,-58.61567667590043,-0.033967614,26.855944,Data Asli
-1065.7365026962507,-36.59226419607785,10.153323,-31.559927,Data Asli
-1800.7861437051943,-69.47542295533822,7.742461,27.359364,Data Asli
-1677.5370029252772,-71.88046197127824,13.003196,-19.85955,Data Asli
-2324.6785851849017,549.6192132898832,-0.89855075,-9.920371,Data Asli
-2026.5342356120527,251.39973373079283,16.447012,-11.670451,Data Asli
-2075.6920105605423,322.6907525024726,9.864278,38.60714,Data Asli
-2104.4742552071766,364.13172587436566,8.187149,42.330475,Data Asli
17874.725773384704,2228.9209539183216,67.729706,-0.09438609,Data Asli
5459.929173922399,-11414.87801654471,37.67952,-18.638865,Data Asli
-1709.085446882058,337.47536644768024,-9.083961,25.956856,Data Asli
-1571.9491032552542,125.13125894740824,3.6222947,-26.249233,Data Asli
-2015.9716695799834,256.59428219044275,-11.494757,32.51506,Data Asli
-2320.810968719001,151.61960620149148,-12.936683,-25.22392,Data Asli
-2073.594556841348,292.14642212447416,14.8259535,35.869133,Data Asli
17102.14976079865,2402.502546578934,69.09986,3.2037508,Data Asli
-2032.5896040161388,224.10925617125395,8.517668,31.218895,Data Asli
