[START] 2026-01-17T08:16:21Z bridge=br0 duration=600 interval=1
[INFO] Delay log path: /home/ovs/sdn-iot/pengujian/delay_log.csv
[INFO] Output dataset : /home/ovs/sdn-iot/pengujian/allport/dataset_dqn.csv
[PROGRESS] ts=2026-01-17T08:18:54Z rows=137 delay(dht11)=5.130 delay(camera)=5.661 delay(max)=5.130
[PROGRESS] ts=2026-01-17T08:18:55Z rows=138 delay(dht11)=5.149 delay(camera)=5.661 delay(max)=5.130
[PROGRESS] ts=2026-01-17T08:18:56Z rows=139 delay(dht11)=5.187 delay(camera)=5.479 delay(max)=5.131
[PROGRESS] ts=2026-01-17T08:18:57Z rows=140 delay(dht11)=5.141 delay(camera)=5.544 delay(max)=5.131
[PROGRESS] ts=2026-01-17T08:18:59Z rows=141 delay(dht11)=5.145 delay(camera)=5.544 delay(max)=5.147
[PROGRESS] ts=2026-01-17T08:19:00Z rows=142 delay(dht11)=5.121 delay(camera)=5.544 delay(max)=5.147
[PROGRESS] ts=2026-01-17T08:19:01Z rows=143 delay(dht11)=5.181 delay(camera)=5.544 delay(max)=5.147
[PROGRESS] ts=2026-01-17T08:19:02Z rows=144 delay(dht11)=5.195 delay(camera)=5.340 delay(max)=5.131
[PROGRESS] ts=2026-01-17T08:19:03Z rows=145 delay(dht11)=5.119 delay(camera)=5.340 delay(max)=5.131
[PROGRESS] ts=2026-01-17T08:19:04Z rows=146 delay(dht11)=5.119 delay(camera)=5.515 delay(max)=5.165
[PROGRESS] ts=2026-01-17T08:19:05Z rows=147 delay(dht11)=5.150 delay(camera)=5.515 delay(max)=5.165
[PROGRESS] ts=2026-01-17T08:19:07Z rows=148 delay(dht11)=5.270 delay(camera)=5.515 delay(max)=5.165
[PROGRESS] ts=2026-01-17T08:19:08Z rows=149 delay(dht11)=5.127 delay(camera)=5.515 delay(max)=5.214
[PROGRESS] ts=2026-01-17T08:19:09Z rows=150 delay(dht11)=5.122 delay(camera)=5.469 delay(max)=5.214
[PROGRESS] ts=2026-01-17T08:19:10Z rows=151 delay(dht11)=5.337 delay(camera)=5.469 delay(max)=5.214
[PROGRESS] ts=2026-01-17T08:19:11Z rows=152 delay(dht11)=5.117 delay(camera)=5.469 delay(max)=5.184
[PROGRESS] ts=2026-01-17T08:19:12Z rows=153 delay(dht11)=5.148 delay(camera)=5.469 delay(max)=5.184
[PROGRESS] ts=2026-01-17T08:19:13Z rows=154 delay(dht11)=5.431 delay(camera)=5.383 delay(max)=5.218
[PROGRESS] ts=2026-01-17T08:19:14Z rows=155 delay(dht11)=5.186 delay(camera)=5.383 delay(max)=5.218
[PROGRESS] ts=2026-01-17T08:19:15Z rows=156 delay(dht11)=5.144 delay(camera)=5.383 delay(max)=5.218
[PROGRESS] ts=2026-01-17T08:19:17Z rows=157 delay(dht11)=5.128 delay(camera)=5.378 delay(max)=5.113
[PROGRESS] ts=2026-01-17T08:19:18Z rows=158 delay(dht11)=5.206 delay(camera)=5.378 delay(max)=5.113
[PROGRESS] ts=2026-01-17T08:19:19Z rows=159 delay(dht11)=5.185 delay(camera)=5.378 delay(max)=5.113
[PROGRESS] ts=2026-01-17T08:19:20Z rows=160 delay(dht11)=5.149 delay(camera)=5.378 delay(max)=5.118
[PROGRESS] ts=2026-01-17T08:19:21Z rows=161 delay(dht11)=5.147 delay(camera)=5.378 delay(max)=5.118
[PROGRESS] ts=2026-01-17T08:19:22Z rows=162 delay(dht11)=5.117 delay(camera)=5.553 delay(max)=5.128
[PROGRESS] ts=2026-01-17T08:19:23Z rows=163 delay(dht11)=5.218 delay(camera)=5.553 delay(max)=5.128
[PROGRESS] ts=2026-01-17T08:19:25Z rows=164 delay(dht11)=5.140 delay(camera)=5.553 delay(max)=5.128
[PROGRESS] ts=2026-01-17T08:19:26Z rows=165 delay(dht11)=5.175 delay(camera)=5.553 delay(max)=5.111
