timestamp,device_id,src_ip,delay_ms
2026-01-16T08:40:49Z,camera,192.168.15.237,-9.361
2026-01-16T08:40:49Z,max,192.168.15.237,-8.965
2026-01-16T08:40:52Z,dht11,192.168.15.237,-9.914
2026-01-16T08:40:53Z,max,192.168.15.237,-9.860
2026-01-16T08:40:54Z,camera,192.168.15.237,-9.473
2026-01-16T08:40:57Z,dht11,192.168.15.237,-10.003
2026-01-16T08:40:57Z,camera,192.168.15.237,-9.716
2026-01-16T08:40:57Z,max,192.168.15.237,-9.692
2026-01-16T08:41:01Z,camera,192.168.15.237,-9.581
2026-01-16T08:41:01Z,max,192.168.15.237,-9.937
2026-01-16T08:41:02Z,dht11,192.168.15.237,-10.161
2026-01-16T08:41:05Z,camera,192.168.15.237,-9.781
2026-01-16T08:41:05Z,max,192.168.15.237,-9.946
2026-01-16T08:41:07Z,dht11,192.168.15.237,-10.303
2026-01-16T08:41:08Z,camera,192.168.15.237,-10.030
2026-01-16T08:41:09Z,camera,192.168.15.237,-9.981
2026-01-16T08:41:09Z,max,192.168.15.237,-10.347
2026-01-16T08:41:12Z,camera,192.168.15.237,-9.878
2026-01-16T08:41:12Z,dht11,192.168.15.237,-10.448
2026-01-16T08:41:13Z,max,192.168.15.237,-10.397
2026-01-16T08:41:14Z,camera,192.168.15.237,-9.995
2026-01-16T08:41:17Z,camera,192.168.15.237,-10.107
2026-01-16T08:41:17Z,dht11,192.168.15.237,-10.506
2026-01-16T08:41:17Z,max,192.168.15.237,-10.554
2026-01-16T08:41:21Z,max,192.168.15.237,-10.510
2026-01-16T08:41:22Z,camera,192.168.15.237,-10.393
2026-01-16T08:41:22Z,dht11,192.168.15.237,-10.630
2026-01-16T08:41:25Z,max,192.168.15.237,-10.746
2026-01-16T08:41:26Z,camera,192.168.15.237,-10.483
2026-01-16T08:41:27Z,dht11,192.168.15.237,-10.755
2026-01-16T08:41:29Z,max,192.168.15.237,-10.832
2026-01-16T08:41:30Z,camera,192.168.15.237,-10.172
2026-01-16T08:41:32Z,dht11,192.168.15.237,-10.800
2026-01-16T08:41:33Z,camera,192.168.15.237,-10.402
2026-01-16T08:41:33Z,max,192.168.15.237,-10.937
2026-01-16T08:41:34Z,camera,192.168.15.237,-10.602
2026-01-16T08:41:35Z,camera,192.168.15.237,-10.681
2026-01-16T08:41:37Z,camera,192.168.15.237,-10.681
2026-01-16T08:41:37Z,max,192.168.15.237,-11.068
2026-01-16T08:41:37Z,dht11,192.168.15.237,-11.080
2026-01-16T08:41:38Z,camera,192.168.15.237,-10.722
2026-01-16T08:41:41Z,max,192.168.15.237,-11.114
2026-01-16T08:41:42Z,dht11,192.168.15.237,-11.163
2026-01-16T08:41:43Z,camera,192.168.15.237,-10.715
2026-01-16T08:41:45Z,max,192.168.15.237,-11.252
2026-01-16T08:41:46Z,camera,192.168.15.237,-10.882
2026-01-16T08:41:47Z,dht11,192.168.15.237,-11.284
2026-01-16T08:41:49Z,max,192.168.15.237,-11.046
2026-01-16T08:41:51Z,camera,192.168.15.237,-10.989
2026-01-16T08:41:52Z,dht11,192.168.15.237,-11.442
2026-01-16T08:41:53Z,max,192.168.15.237,-11.465
2026-01-16T08:41:56Z,camera,192.168.15.237,-11.238
2026-01-16T08:41:57Z,max,192.168.15.237,-11.395
2026-01-16T08:41:57Z,dht11,192.168.15.237,-11.602
2026-01-16T08:41:58Z,camera,192.168.15.237,-11.193
2026-01-16T08:42:01Z,max,192.168.15.237,-11.666
2026-01-16T08:42:02Z,camera,192.168.15.237,-11.482
2026-01-16T08:42:02Z,dht11,192.168.15.237,-11.058
2026-01-16T08:42:03Z,camera,192.168.15.237,-11.318
2026-01-16T08:42:05Z,max,192.168.15.237,-11.627
2026-01-16T08:42:07Z,camera,192.168.15.237,-11.451
2026-01-16T08:42:07Z,dht11,192.168.15.237,-11.853
2026-01-16T08:42:09Z,max,192.168.15.237,-11.816
2026-01-16T08:42:12Z,camera,192.168.15.237,-11.529
2026-01-16T08:42:12Z,dht11,192.168.15.237,-11.999
2026-01-16T08:42:13Z,max,192.168.15.237,-11.976
2026-01-16T08:42:15Z,camera,192.168.15.237,-11.528
2026-01-16T08:42:17Z,camera,192.168.15.237,-11.724
2026-01-16T08:42:17Z,max,192.168.15.237,-12.066
2026-01-16T08:42:17Z,dht11,192.168.15.237,-12.145
2026-01-16T08:42:21Z,camera,192.168.15.237,-11.759
2026-01-16T08:42:21Z,max,192.168.15.237,-12.201
