Proposed (SDH-PPO),PPO Standard,DQN,DDQN,Static
6.622523495,7.026715154604699,6.9676747,7.037351447,7.557547503634918
6.115960004978687,6.41551834991455,6.371695,6.371695,5.491491049218085
7.164476915698788,7.5444674499676445,7.6052604,7.681313004,7.716541576159859
6.708058800227447,7.20802464975666,7.0682983,7.138981283000001,7.205153146653371
6.630456419989109,6.814047621868133,6.976944,6.976944,7.082662503938381
6.220744937958238,6.687313310882157,6.4949646,6.4949646,6.051927219213119
6.3545347256805185,6.497243728329029,6.6523304,6.718853704000001,7.192026876294552
6.508927898717067,6.67416100283838,6.8340316,6.902371916000001,6.864986384182386
6.961482512390614,7.205991366160298,7.366448,7.44011248,7.734515983249172
6.591144155637357,6.779336893089051,6.9307528,7.000060328,7.0301331287799975
6.53287085,8.035769895279824,6.862201,6.862201,6.753283557481185
6.67134430143203,6.842137590285778,7.0250154,7.0250154,7.119205952990089
6.607947852795294,6.7629188215059655,6.9505157,7.020020857,7.188953783237907
6.723680081719754,7.096683367682833,7.0866823,7.0866823,7.0738345070213065
6.550983133520364,7.88145802452421,6.8835087,6.952343787,7.275914290320009
6.364360620158954,6.575187230121295,6.6637483,6.6637483,6.4607461269712525
6.352968050723769,6.593188134350836,6.6505475,6.7170529750000005,6.370843097093987
6.653408888933025,6.867519629068035,7.003979,7.07401879,6.896556529164112
6.62477221369416,7.159109723598276,6.9703116,6.9703116,6.550086776756314
6.303158855499193,6.5377306602663925,6.5918946,6.5918946,6.018158841277928
