timestamp,port,rx_bytes,tx_bytes
2026-01-13T19:05:42Z,2,19597617468,17163721516
2026-01-13T19:05:43Z,2,19598201780,17164284976
2026-01-13T19:05:44Z,2,19598750196,17164785316
2026-01-13T19:05:45Z,2,19599301832,17165302036
2026-01-13T19:05:46Z,2,19599892125,17165778496
2026-01-13T19:05:47Z,2,19600440824,17166118936
2026-01-13T19:05:48Z,2,19600994465,17166501196
2026-01-13T19:05:49Z,2,19601584552,17167038676
2026-01-13T19:05:50Z,2,19602136402,17167456996
2026-01-13T19:05:51Z,2,19602687928,17167939636
2026-01-13T19:05:52Z,2,19603279109,17168365396
2026-01-13T19:05:53Z,2,19603832476,17168986816
2026-01-13T19:05:54Z,2,19604384056,17169499396
2026-01-13T19:05:55Z,2,19604933588,17170001536
2026-01-13T19:05:56Z,2,19605524825,17170487836
2026-01-13T19:05:57Z,2,19606074883,17170930216
2026-01-13T19:05:58Z,2,19606628396,17171379136
2026-01-13T19:05:59Z,2,19607218728,17171907496
2026-01-13T19:06:00Z,2,19607775525,17172637336
2026-01-13T19:06:01Z,2,19608323877,17173153156
2026-01-13T19:06:02Z,2,19608877559,17173659856
2026-01-13T19:06:03Z,2,19609469077,17174207836
2026-01-13T19:06:04Z,2,19610022751,17174751976
2026-01-13T19:06:05Z,2,19610571380,17175237616
2026-01-13T19:06:06Z,2,19611168393,17175636076
2026-01-13T19:06:07Z,2,19611716504,17176107196
2026-01-13T19:06:09Z,2,19612267941,17176410496
2026-01-13T19:06:10Z,2,19612815677,17176888876
2026-01-13T19:06:11Z,2,19613409122,17177505796
2026-01-13T19:06:12Z,2,19613957474,17177992576
2026-01-13T19:06:13Z,2,19614525830,17178437056
2026-01-13T19:06:14Z,2,19615115142,17178986476
2026-01-13T19:06:15Z,2,19615673130,17179483996
2026-01-13T19:06:16Z,2,19616224748,17180105836
2026-01-13T19:06:17Z,2,19616817275,17180630476
2026-01-13T19:06:18Z,2,19617366038,17181238216
2026-01-13T19:06:19Z,2,19617921481,17181709396
2026-01-13T19:06:20Z,2,19618474622,17182214716
2026-01-13T19:06:21Z,2,19619066988,17182803076
2026-01-13T19:06:22Z,2,19619618977,17183312356
2026-01-13T19:06:23Z,2,19620188920,17183816296
2026-01-13T19:06:24Z,2,19620789441,17184219616
2026-01-13T19:06:25Z,2,19621345438,17184599896
2026-01-13T19:06:26Z,2,19621894804,17185008556
2026-01-13T19:06:27Z,2,19622488144,17185581436
2026-01-13T19:06:28Z,2,19623039027,17185911256
2026-01-13T19:06:29Z,2,19623589978,17186375776
2026-01-13T19:06:30Z,2,19624175974,17186800696
2026-01-13T19:06:31Z,2,19624731326,17187416176
2026-01-13T19:06:32Z,2,19625278163,17187967996
2026-01-13T19:06:33Z,2,19625873951,17188636096
