algo,arm,seed,reward,viol_p1,delay_p1,drop_p1,viol_p2,delay_p2,drop_p2,viol_p4,delay_p4,drop_p4,viol_total
threshold,full,0,-26.78064409209811,63.3,81.94861312081191,0.4932731506309952,60.95,101.33855241869968,0.49693078163915005,63.425,85.51958797884669,0.5114470129341441,62.55833333333334
threshold,full,1,-26.526657816349378,63.24999999999999,81.55291180760551,0.49225453167562777,61.4,101.94445730461695,0.5089196540337696,63.65,84.0356788967052,0.5209460554383742,62.76666666666666
threshold,full,2,-25.620788491644518,62.425,78.78665427529425,0.4544232775760432,59.875,100.23950088476202,0.45223294433620514,62.949999999999996,82.08765174098403,0.45233308662570093,61.75
threshold,full,3,-24.472963440800218,61.425,76.36526473953653,0.35299898771323235,59.375,96.13854755154517,0.3568107461911228,61.675000000000004,78.96780876097296,0.3896545493814666,60.824999999999996
threshold,full,4,-24.4830761665729,61.199999999999996,76.5906902641739,0.3558260362558163,59.75,96.1802712374735,0.3595460880201239,61.650000000000006,78.6407442993842,0.3977934144145506,60.86666666666667
threshold,full,5,-25.249467252490554,61.925,79.01186076137962,0.40443104591087037,59.599999999999994,98.48572129338108,0.3998241469866549,62.425,80.34309927070395,0.40757648581871625,61.31666666666666
threshold,full,6,-27.198953904828226,63.725,82.99471081524275,0.5237970137030648,61.475,102.86825943640937,0.534092612836251,64.075,86.47313481125745,0.548202377931086,63.09166666666667
threshold,full,7,-27.62196090575341,64.1,84.69103556188907,0.5486555410257767,62.050000000000004,103.78478741452228,0.5472073387231997,64.525,86.97957263736542,0.5756465053098174,63.55833333333334
threshold,full,8,-26.1812144528138,62.6,80.28152210687864,0.44935752684795177,60.85,100.66339746033086,0.45234510172475034,63.0,83.94068000550519,0.5007298367451749,62.15
threshold,full,9,-26.28982801569883,62.925,80.57423797904855,0.46429930296315536,60.675000000000004,100.87693023583107,0.4828026013574308,63.224999999999994,84.11528217161097,0.49959059899225783,62.275
